Series ID,Year,Period,Label,Value,,
CUUR0000SA0,2004,M01,2004 Jan,185.2,188.8833333,
CUUR0000SA0,2004,M02,2004 Feb,186.2,,
CUUR0000SA0,2004,M03,2004 Mar,187.4,,
CUUR0000SA0,2004,M04,2004 Apr,188,,
CUUR0000SA0,2004,M05,2004 May,189.1,,
CUUR0000SA0,2004,M06,2004 Jun,189.7,,
CUUR0000SA0,2004,M07,2004 Jul,189.4,,
CUUR0000SA0,2004,M08,2004 Aug,189.5,,
CUUR0000SA0,2004,M09,2004 Sep,189.9,,
CUUR0000SA0,2004,M10,2004 Oct,190.9,,
CUUR0000SA0,2004,M11,2004 Nov,191,,
CUUR0000SA0,2004,M12,2004 Dec,190.3,,
CUUR0000SA0,2005,M01,2005 Jan,190.7,195.2916667,3.39
CUUR0000SA0,2005,M02,2005 Feb,191.8,,
CUUR0000SA0,2005,M03,2005 Mar,193.3,,
CUUR0000SA0,2005,M04,2005 Apr,194.6,,
CUUR0000SA0,2005,M05,2005 May,194.4,,
CUUR0000SA0,2005,M06,2005 Jun,194.5,,
CUUR0000SA0,2005,M07,2005 Jul,195.4,,
CUUR0000SA0,2005,M08,2005 Aug,196.4,,
CUUR0000SA0,2005,M09,2005 Sep,198.8,,
CUUR0000SA0,2005,M10,2005 Oct,199.2,,
CUUR0000SA0,2005,M11,2005 Nov,197.6,,
CUUR0000SA0,2005,M12,2005 Dec,196.8,,
